model,accuracy,precision,recall,f1_score,roc_auc,pr_auc
logistic_regression,0.782312925170068,0.4,0.723404255319149,0.5151515151515151,0.8129037815487983,0.6405282048161861
tuned_logistic_regression,0.7721088435374149,0.3888888888888889,0.7446808510638298,0.5109489051094891,0.8060987165130502,0.6503719854003503
random_forest,0.8673469387755102,0.625,0.425531914893617,0.5063291139240507,0.7957619088638125,0.5245998150060032
xgboost,0.8775510204081632,0.7037037037037037,0.40425531914893614,0.5135135135135135,0.7720733913343096,0.5677766626555895
tuned_xgboost,0.8741496598639455,0.6923076923076923,0.3829787234042553,0.4931506849315068,0.7671634077009216,0.5670171925561416
