,precision,recall,f1-score,support
No Attrition,0.9170506912442397,0.805668016194332,0.8577586206896551,247.0
Attrition,0.37662337662337664,0.6170212765957447,0.46774193548387094,47.0
accuracy,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326
macro avg,0.6468370339338081,0.7113446463950384,0.662750278086763,294.0
weighted avg,0.8306558484307004,0.7755102040816326,0.7954090145513155,294.0
